"Source File","Program Name","Date/Time","Data Source"
"SOFTWARE","DXM_Runtime","2019-12-07 09:52:45 CST","Windows 10 x64.vmdk"
"SOFTWARE","MPlayer2","2019-12-07 09:52:45 CST","Windows 10 x64.vmdk"
"SOFTWARE","AddressBook","2019-12-07 09:17:28 CST","Windows 10 x64.vmdk"
"SOFTWARE","Connection Manager","2019-12-07 09:17:28 CST","Windows 10 x64.vmdk"
"SOFTWARE","DirectDrawEx","2019-12-07 09:17:28 CST","Windows 10 x64.vmdk"
"SOFTWARE","Fontcore","2019-12-07 09:17:28 CST","Windows 10 x64.vmdk"
"SOFTWARE","IE40","2019-12-07 09:17:28 CST","Windows 10 x64.vmdk"
"SOFTWARE","IE4Data","2019-12-07 09:17:28 CST","Windows 10 x64.vmdk"
"SOFTWARE","IE5BAKEX","2019-12-07 09:17:28 CST","Windows 10 x64.vmdk"
"SOFTWARE","IEData","2019-12-07 09:17:28 CST","Windows 10 x64.vmdk"
"SOFTWARE","MobileOptionPack","2019-12-07 09:17:28 CST","Windows 10 x64.vmdk"
"SOFTWARE","SchedulingAgent","2019-12-07 09:17:28 CST","Windows 10 x64.vmdk"
"SOFTWARE","WIC","2019-12-07 09:17:28 CST","Windows 10 x64.vmdk"
"SOFTWARE","DXM_Runtime","2019-12-07 09:52:45 CST","Windows 10 x64.vmdk"
"SOFTWARE","MPlayer2","2019-12-07 09:52:45 CST","Windows 10 x64.vmdk"
"SOFTWARE","AddressBook","2019-12-07 09:17:27 CST","Windows 10 x64.vmdk"
"SOFTWARE","Connection Manager","2019-12-07 09:17:27 CST","Windows 10 x64.vmdk"
"SOFTWARE","DirectDrawEx","2019-12-07 09:17:27 CST","Windows 10 x64.vmdk"
"SOFTWARE","Fontcore","2019-12-07 09:17:27 CST","Windows 10 x64.vmdk"
"SOFTWARE","IE40","2019-12-07 09:17:27 CST","Windows 10 x64.vmdk"
"SOFTWARE","IE4Data","2019-12-07 09:17:27 CST","Windows 10 x64.vmdk"
"SOFTWARE","IE5BAKEX","2019-12-07 09:17:27 CST","Windows 10 x64.vmdk"
"SOFTWARE","IEData","2019-12-07 09:17:27 CST","Windows 10 x64.vmdk"
"SOFTWARE","MobileOptionPack","2019-12-07 09:17:27 CST","Windows 10 x64.vmdk"
"SOFTWARE","SchedulingAgent","2019-12-07 09:17:27 CST","Windows 10 x64.vmdk"
"SOFTWARE","WIC","2019-12-07 09:17:27 CST","Windows 10 x64.vmdk"
